[								
]								
㒩				luǒ		lo2		
㘙				yán		gau1 gau2 hau6 ngam4		
㘚				hǎn		gam1 ham3		
㩵				è		ngok6		
㩶				niè		nip6		
㩷				qiān				
㪻				juàn		gyun3 hyun3		
㬮				nàn		nan6		
㰙				nuó		no5	nạng	
㰚				lí		laai4 lei4		
㰛				yuè		ngok6		
㰜								
㱍				luán		lyun4		
㱻				luò		lo2		
㶛				yú		zyu4		
㶜						zyun1		
㶝								
㸏				mí		mei4		
㸐				rán		zin4		
㼈				luó		leon6 lo4		
㽯				xí		kwai4		
㿙				pì		pei3		
䂂				qú		keoi4		
䂃				jiào		tiu4 ziu3		
䉲				mí		nei4		
䉳				xiān		sin1		
䉴				ráng		zoeng4		
䉵				zhuàn		gyun6 zan6 zyun2		
䊱				xiān		cim1 sim2 zaam1		
䊲				chàn		can2		
䌮				shuāng		soeng1		
䍎				cùn		cyun3		
䕳				mí		nei4		
䕴				zhuó				
䕵				xié				
䕶				hù		wu6		
䕷				mí		mei4		
䘊				miè		mit6		
䘋				jiān				
䘌				nì		nik1		
䙬				yìng		zing3		
䙭						hin1		
䜢				xiǎn				
䜩				yàn		zin3		
䞋				chèn				
䟐				lì		hip3 lik6		
䠭				lái		hon5 lai6 lan5 maan4		
䠮				téng		hau2 taang4		
䡁				lǒng		lung5		
䣣				dǎng		dong2		
䣤				jué				
䥯				bēi		baa6		
䥰				méng		mong4		
䥱				xiě		se2		
䥲				ōu		aau1		
䥳				yōu		zaau1		
䥴						teon1 zeon3 zyun1		
䨵				dàn		tam4		
䨶				yǔn		wan5		
䪇				bó		bok6		
䪈				qiàn		hin2		
䪝				hù		wok6 wu6		
䪥				xiè		haai6		
䬞				táo		tou4		
䭡				èn		neoi6 neot6		
䭢				níng		ning4		
䭣				cí		ci4		
䭤				qiǎn		hin2		
䮷				dú		duk6		
䮸				wò		aak1 ak1		
䮹				wèi		kyut3 waai3		
䯤				kuài		kui2		
䰮								
䲉				sī		si1		
䲊				duò		to5		
䲋				cén		sam4		
䲌				kuǎn		fun2		
䲍				téng		tang4		
䲎				něi				
䲏				láo		lou4 lou6		
䳾				dēng		dang1		
䳿				rán		zin4		
䴀				tóng		tung4 zung1		
䴁				yù		zyu6		
䴂				xiàng		zoeng6		
䴃				náo		nau4		
䴄				shùn		seon3		
䴅				fén		fan4		
䴆				pú		buk6		
䴝				chuài		cai3 zyut3		
䵃				kuàng		kwong3 wong4		
䵏				lǎo		lou5		
䵛				qiàn		gin3 hin1		
䵰				shāng		soeng1		
䶈				bó		bok3		
䶉				liú		lau4		
䶞				qí		kei4		
䶟				xiàn		haam6		
儽	RAI RE RUI RA		LAY	léi		leoi4 leoi5		
劙	RI REI RAI		LI LYEY	lí		lai5 lei5		
劚	CHAKU CHOU		CHOK	zhǔ				
囌	SO			sū		sou1		
囏	KAN KEN		KAN	jiān				
囐	SATSU ZACHI GATSU GACHI		CAL	zá				
壧	GAN			yán				
壨	RAI			léi				
孍	GEN GON			yán				
巖	GAN GEN	암	AM EM	yán		ngaam4	nham	*ngam
巘	GEN GON KEN			yǎn		jin5		ngiæ̌n
巙	KI GI DOU NOU			kuí				
巚		헌	HEN	yǎn				
彏	KUWAKU			jué		fok3		
戀	REN	련 연	LYEN	liàn	lian4(11)	lyun2 lyun5	luyến	*liuɛ̀n
戁	DAN NEN ZEN			nǎn		naan2 naan5		
戃	TOU SHOU			tǎng		cong2 tong2		
戄	KYAKU SHOU			jué		fok3		
攥				zuàn	zuan4(11)	zaan6		
攨				wā				
攩	TOU KOU OU			dǎng		dong2 dong3		
攪	KAKU KOU	교	KYO	jiǎo	jiao3(41)	gaau2		gǎu
攫	KAKU	확	HWAK	jué		fok3		
斖				wěi				
曪		라	LA	luǒ				
曫	RAN BAN MAN REN			luán				
曬	SAI	쇄	SWA	shài		saai3		
欏	RA			luó		lo4		
欐	REI RAI RI			lì		lai6		
欑	SAN ZAN	찬	CHAN	cuán		cyun4 zaan2		
欒	RAN	란	LAN	luán		lyun4		luɑn
毊				xiāo				
灓		란	LAN	luán				
灙				dǎng				
灚				jiǎo				
灛				chǎn		cin2		
灜				ying				
爡				chè				
爢				mí		mei4		
玁	KEN REN	험	HEM	xiǎn		him2		
玂				qí				
玃	KYAKU KAKU KEKI KU			jué		fok3		
瓚	SAN ZAN	찬	CHAN	zàn		zaan3		
癯	KU GU	구	KWU	qú		keoi4		
癰	YOU	옹	YONG	yōng		jung1	ung	
皭	SHAKU ZAKU SHOU			jiào		ziu3 zoek3		
矔				guàn		gun3		
礶				guàn		gun3		
礷				lán				
禵				tí				
穱				zhuō				
籢				lián				
籣	RAN			lán		laan4	tràn	
籤	SEN	첨	CHEM	qiān		cim1		
籥	YAKU	약	YAK	yuè		joek6		
籦				zhōng				
籧	KYO GO	거	KE	qú		keoi4		
籨				lián				
糵	GETSU			niè				
纓	EI YOU	영	YENG	yīng		jing1		*qiɛng
纔	SAN SAI	재	CAY	cái		coi4		*dzhəi
纕	SHOU SOU JOU			rǎng		soeng1		
纖	SEN	섬	SEM	xiān	xian1(197)	cim1		*siɛm
臢				zā		zim1		
艬				chán				
蘒				qiu				
蘕				feng				
蘖	GETSU	얼	EL	niè		jit6		
蘗	HAKU BYAKU	벽	PYEK	bò		jit6 paak3		
蘘	JOU NYOU SHOU SOU NOU	양	YANG	ráng		joeng4		
蘙	EI			yì				
蘚	SEN	선	SEN	xiǎn		sin2		siɛ̌n
蘛	IKU YU			yú				
蘜				jú		guk1		
蘝				liàn			lém	
蘞	REN KEN KON			liǎn		lim4 lim6		
蘟				yǐn				
蘠				qiáng		coeng4		
蘡	OU YOU EI			yīng		jing1		
蘣				tǒu				
蘥				yuè		joek6		
蘦				líng		ling4		
蘧	KU GU KYO	거	KE	qú		keoi4		
蘨				yáo		jau4		
蘩	HAN BON	번	PEN	fán		faan4		
蘪				méi				
蘫				hàn				
蘬				kuī		gwai1		
蘭	RAN	난 란	LAN	lán		laan4		*lɑn
蘮				jì		gai1 gai3		
蘯	TOU DOU	탕	THANG	dàng				
蘰				man				
蠭	HOU			fēng		fung1		
蠮	ETSU ECHI			yē		jit6		
蠯				bèng				
蠰	SHOU SOU JOU NYOU			náng		joeng4 joeng6		
蠱	KO YA	고	KO	gǔ		gu2		
蠲	KEN KEI KE	견	KYEN	juān		gyun1		guen
蠳				yīng				
襳	SEN SHIN SAN			xiān		cim1 sam1 sim1		
襴	RAN	란	LAN	lán		laan4		
襽	RAN			lan				
覉	KI	기	KI	jī				
觽	KEI E SUI KI			xī				
觾				yàn				
讆	EI E			wèi		wai6		
讇				chǎn		cim2		
讈				lì				
讉		유	YU	yí				
變	HEN	변	PYEN	biàn	bian4(1669)	bin3	biến	byɛ̀n
讋	SHOU TOU DOU			zhé		zip3		
讌	EN	연	YEN	yàn		jin3		
讍	GAKU			è				
讎	SHUU	수	SWU	chóu		cau4	thù	
讏	EI E			wèi				
讐	SHUU	수	SWU	chóu		cau4		zhiou
豅	ROU RU			lóng				
贙				xuàn				
贚				lòng				
趱				zǎn		zaan2		
躗	EI E KAI KE			wèi		wai6		
躘				lóng		lung4	ruông	
躙	RIN	린	LIN	lìn				
躚	SEN		SEN	xiān		sin1		
躛	EI E KAI KE			wèi				
躜				zuān		zyun2		
轣	REKI	력	LYEK	lì		lik6		
轤	RO	로	LO	lú		lou4		
邏	RA	나 라	LA	luó	luo2(24)	lo4	lạ	lɑ̀
邐	RI	리	LI	lǐ		lei5		tjiɛ̌
醼	EN			yàn		jin3		
鑕	SHITSU SHICHI	질	CIL	zhì		zat1	sểnh chặt	
鑖				miè				
鑗				lí				
鑘				léi				
鑙	KEI			jī				
鑚	SAN			zuàn				
鑛	KOU	광	KWANG	kuàng		gwong3		
鑜	SHOU			shǎng				
鑝				péng				
鑞	ROU	랍	LAP	là		laap6 lap6		
鑟	TOKU DOKU			dú				
鑠	SHAKU	삭	SAK	shuò		soek3	thước	shiɑk
鑡	SAKU			chuò				
鑢	RYO RO	려	LYE	lǜ		leoi3 leoi6		
鑣	HYOU	표	PHYO	biāo		biu1		
鑤				bào		paau4		
鑥				lǔ				
鑦				xian				
靁	RAI			léi				
靨	YOU	엽	YEP	yè		jip3 jip6		
韄	AKU YAKU KAKU GYAKU			hù		waak6 wu6		
韅	KEN			xiǎn		hin2		
頀		호	HO	hù		wu6		
顬	JU NYU			rú				
顭				méng				
顮				bīn				
顯	KEN GEN	현	HYEN	xiǎn	xian3(503)	hin2	hiển	xěn
颧				quán		kyun4		
饚				hài				
饛	BOU MU			méng		mung4		
饜	EN	염	YEM	yàn		jim3		
馪				pīn				
驖	TETSU DECHI			tiě		tit3		
驗	KEN GEN	험	HEM	yàn	yan4(792)	jim6	nghiệm	
驘		라	LA	luó		lo4		
驙				zhān				
驚	KYOU KEI	경	KYENG	jīng	jing1(425)	geng1 ging1	kinh	*giæng
驛	EKI	역	YEK	yì		jik6	dịch	*iɛk
驜				yè				
髑	TOKU DOKU	촉	CHOK	dú		duk6		
髒	SOU		CANG	zāng		zong1		
髓	ZUI SUI	수	SWU	suǐ		seoi5	tuỷ	siuɛ̌
體	TEI TAI	체	CHEY	tǐ	ti3(1746)	tai2	thể	*těi
髞	SOU ZOU			sào				
鬞				náng				
鬟	KAN	환	HWAN	huán		waan4		huan
鬠	KATSU GACHI KAI KE		KWAL	kuò		kut3 zang3	xoáy	
鱉	BETSU	별	PYEL	biē		bit3		
鱊	ITSU ICHI SHUTSU JUCHI			yù		wat6		
鱋				qū				
鱌				xiàng				
鱍				bō		but6		
鱎	KYOU GYOU			jiǎo		giu2		
鱏	SHIN JIN IN	심	SIM	xún				
鱐	SHUKU SUKU SHUU SHU			sù		suk1		
鱑				huáng				
鱒	SON TEN	준	CWUN	zūn		cyun5 zyun1		
鱓	SEN ZEN TA DA	선	SEN	shàn		sin5		
鱔	SEN		SEN	shàn		sin5		
鱕				fān				
鱖	KEI KE KETSU KACHI		KWEL KWEY	guì		gwai3 kyut3		
鱗	RIN	린 인	LIN	lín		leon4		*lin
鱘	SHIN JIN		SIM	xún		cam4		
鱙				miáo			nghéo	
鱚				xǐ				
鱛				zeng				
鷡				wú				
鷢				jué				
鷣				yín				
鷤				tí		dai6 taan5 tai4		
鷥	SHI			sī		si1		
鷦	SHOU	초	CHO	jiāo		ziu1		
鷧	I EI			yì				
鷨				huá				
鷩	HETSU HECHI HEI HI	별	PYEL	bì		bit3		
鷪		앵	AYNG	yīng				
鷫	SHUKU SUKU	숙	SWUK	sù		suk1		
鷬				huáng				
鷭	BAN HAN			fán		faan1 faan4		
鷮	KYOU GYOU			jiāo		giu1	keo	
鷯	RYOU			liáo		liu4		
鷰	EN	연	YEN	yàn		jin3		
鷱		고	KO	gāo				
鷲	SHUU JU	취	CHWI	jiù		zau6		dzhiòu
鷳	KAN KEN	한	HAN	xián		haan4		
鷴	KAN GEN			xián		haan4		
鷵				tú				
鷶				mǎi				
鷷				zūn				
鷸	ITSU	휼	HUL	yù		neot6 wat6		
鷺	RO RYO	노 로	LO	lù		lou6		lò
鷻				tuán		tyun4		
鷼				xián				
麟	RIN	린 인	LIN	lín		leon4	lân	*lin
黙	MOKU			mò		mak6		
黲	SAN	참	CHAM	cǎn		caam2		
黳				yī		ji1		
黴	BAI BI MAI	미	MI	méi	mei2(13)	mei4		
鼆				méng		man4		
鼇	GOU	오	O	áo		ngou4		ngɑu
鼜				qì		cik1		
鼶				sī		si1		
鼷	KEI GEI		HYEY	xī		hai4		
鼸		겸	KYEM	xiàn				
鼹	EN ON	언	EN	yǎn		jin2		
齃	KATSU KACHI ATSU ACHI			è		aat3 ngaat3		
齄	SHA SA		CHA	zhā				
齏	SEI SAI		CEY	jī		zai1		
齭	SHO SO			chǔ				
齮	GI KI			yǐ		ji2		
齯	GEI JI NI			ní		ngai4		
齰	SAKU JAKU SA JA			zé		zaak3		
齱	SEKU SAKU SHUKU SHOKU SOKU			zōu		cuk1 zau1		
邏	RA	나 라	LA	luó	luo2(24)	lo4	lạ	lɑ̀
蘭	RAN	난 란	LAN	lán		laan4		*lɑn
鷺	RO RYO	노 로	LO	lù		lou6		lò
鱗	RIN	린 인	LIN	lín		leon4		*lin
麟	RIN	린 인	LIN	lín		leon4	lân	*lin
